Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
AJ Green,2022,,,,,,,,539571.0,
AJ Green,2023,,,,,,,,,1958278.0
AJ Griffin,2022,,,,,,,,3749348.0,
AJ Griffin,2023,,,,,,,,,3823245.0
AJ Hammons,2016,,847296.0,,,,,,,
AJ Hammons,2017,,,1683531.0,,,,,,
AJ Hammons,2020,,,,,,426648.0,,,
AJ Lawson,2022,,,,,,,,393824.0,
AJ Lawson,2023,,,,,,,,,1029713.0
Aaron Brooks,2015,2962201.0,,,,,,,,
Aaron Brooks,2016,,3519540.0,,,,,,,
Aaron Brooks,2017,,,2715169.0,,,,,,
Aaron Gordon,2015,5492157.0,,,,,,,,
Aaron Gordon,2016,,5672090.0,,,,,,,
Aaron Gordon,2017,,,7059871.0,,,,,,
Aaron Gordon,2018,,,,26919126.0,,,,,
Aaron Gordon,2019,,,,,24363960.0,,,,
Aaron Gordon,2020,,,,,,22102631.0,,,
Aaron Gordon,2021,,,,,,,18974611.0,,
Aaron Gordon,2022,,,,,,,,21938322.0,
Aaron Gordon,2023,,,,,,,,,21898084.0
Aaron Gray,2015,1785412.0,,,,,,,,
Aaron Harrison,2015,691302.0,,,,,,,,
Aaron Harrison,2016,,476166.0,,,,,,,
Aaron Harrison,2017,,,223900.0,,,,,,
Aaron Henry,2021,,,,,,,258256.0,,
Aaron Holiday,2018,,,,2386936.0,,,,,
Aaron Holiday,2019,,,,,2746515.0,,,,
Aaron Holiday,2020,,,,,,2858611.0,,,
Aaron Holiday,2021,,,,,,,4602900.0,,
Aaron Holiday,2022,,,,,,,,2086832.0,
Aaron Holiday,2023,,,,,,,,,2416341.0
Aaron Jackson,2017,,,59100.0,,,,,,
Aaron Nesmith,2020,,,,,,4214722.0,,,
Aaron Nesmith,2021,,,,,,,4198929.0,,
Aaron Nesmith,2022,,,,,,,,4033717.0,
Aaron Nesmith,2023,,,,,,,,,5801673.0
Aaron Wiggins,2021,,,,,,,1509913.0,,
Aaron Wiggins,2022,,,,,,,,1657779.0,
Aaron Wiggins,2023,,,,,,,,,1890653.0
Abdel Nader,2017,,,1497200.0,,,,,,
Abdel Nader,2018,,,,1718365.0,,,,,
Abdel Nader,2019,,,,,1985213.0,,,,
Abdel Nader,2020,,,,,,2136305.0,,,
Abdel Nader,2021,,,,,,,2312695.0,,
Adam Flagler,2023,,,,,,,,,212015.0
Adam Mokoka,2019,,,,,97595.0,,,,
Adam Mokoka,2020,,,,,,547332.0,,,
Adama Sanogo,2023,,,,,,,,,576415.0
Ade Murkey,2021,,,,,,,61489.0,,
Admiral Schofield,2019,,,,,1226560.0,,,,
Admiral Schofield,2020,,,,,,1849950.0,,,
Admiral Schofield,2021,,,,,,,836895.0,,
Admiral Schofield,2022,,,,,,,,930869.0,
Admiral Schofield,2023,,,,,,,,,576415.0
Adreian Payne,2015,2552548.0,,,,,,,,
Adreian Payne,2016,,2636057.0,,,,,,,
Adreian Payne,2017,,,99079.0,,,,,,
Ahmad Caver,2021,,,,,,,61489.0,,
Al Horford,2015,15798405.0,,,,,,,,
Al Horford,2016,,34595905.0,,,,,,,
Al Horford,2017,,,35571662.0,,,,,,
Al Horford,2018,,,,36067754.0,,,,,
Al Horford,2019,,,,,34343706.0,,,,
Al Horford,2020,,,,,,33514014.0,,,
Al Horford,2021,,,,,,,31221383.0,,
