Player,2024/25,2025/26,2026/27,2027/28,Season,2023/24,2023/24(*),2022/23,2022/23(*),2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*)
Kobe Bryant,,,,,2015,,,,,,,,,,,,,,,,,25000000.0,32913345.0
LeBron James,,,,,2015,,,,,,,,,,,,,,,,,22970500.0,30241440.0
Carmelo Anthony,,,,,2015,,,,,,,,,,,,,,,,,22875000.0,30115711.0
Dwight Howard,,,,,2015,,,,,,,,,,,,,,,,,22359364.0,29436859.0
Joe Johnson,,,,,2015,,,,,,,,,,,,,,,,,22309344.0,29371005.0
Chris Bosh,,,,,2015,,,,,,,,,,,,,,,,,22192730.0,29217479.0
Kevin Durant,,,,,2015,,,,,,,,,,,,,,,,,21971850.0,28926683.0
Chris Paul,,,,,2015,,,,,,,,,,,,,,,,,21468695.0,28264263.0
Derrick Rose,,,,,2015,,,,,,,,,,,,,,,,,20093064.0,26453198.0
Dwyane Wade,,,,,2015,,,,,,,,,,,,,,,,,20000000.0,26330676.0
LaMarcus Aldridge,,,,,2015,,,,,,,,,,,,,,,,,19689000.0,25921234.0
Marc Gasol,,,,,2015,,,,,,,,,,,,,,,,,19689000.0,25921234.0
DeAndre Jordan,,,,,2015,,,,,,,,,,,,,,,,,19689000.0,25921234.0
Kevin Love,,,,,2015,,,,,,,,,,,,,,,,,19689000.0,25921234.0
Brook Lopez,,,,,2015,,,,,,,,,,,,,,,,,19689000.0,25921234.0
Blake Griffin,,,,,2015,,,,,,,,,,,,,,,,,18862876.0,24833614.0
Paul Millsap,,,,,2015,,,,,,,,,,,,,,,,,18671659.0,24581870.0
David Lee,,,,,2015,,,,,,,,,,,,,,,,,17120776.0,22540080.0
Paul George,,,,,2015,,,,,,,,,,,,,,,,,16900000.0,22249421.0
Russell Westbrook,,,,,2015,,,,,,,,,,,,,,,,,16744218.0,22044329.0
Kawhi Leonard,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Enes Kanter,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Greg Monroe,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Wesley Matthews,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Kyrie Irving,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Jimmy Butler,,,,,2015,,,,,,,,,,,,,,,,,16407500.0,21601028.0
Tobias Harris,,,,,2015,,,,,,,,,,,,,,,,,16000000.0,21064541.0
James Harden,,,,,2015,,,,,,,,,,,,,,,,,15719062.0,20694676.0
Eric Gordon,,,,,2015,,,,,,,,,,,,,,,,,15514031.0,20424746.0
Roy Hibbert,,,,,2015,,,,,,,,,,,,,,,,,15514031.0,20424746.0
Klay Thompson,,,,,2015,,,,,,,,,,,,,,,,,15501000.0,20407590.0
Gordon Hayward,,,,,2015,,,,,,,,,,,,,,,,,15409570.0,20287220.0
Chandler Parsons,,,,,2015,,,,,,,,,,,,,,,,,15361500.0,20223934.0
Goran Dragic,,,,,2015,,,,,,,,,,,,,,,,,14783000.0,19462319.0
John Wall,,,,,2015,,,,,,,,,,,,,,,,,14728844.0,19391021.0
DeMarcus Cousins,,,,,2015,,,,,,,,,,,,,,,,,14728844.0,19391021.0
Khris Middleton,,,,,2015,,,,,,,,,,,,,,,,,14700000.0,19353047.0
Draymond Green,,,,,2015,,,,,,,,,,,,,,,,,14260870.0,18774917.0
Tristan Thompson,,,,,2015,,,,,,,,,,,,,,,,,14260000.0,18773772.0
Danilo Gallinari,,,,,2015,,,,,,,,,,,,,,,,,14000000.0,18431473.0
Reggie Jackson,,,,,2015,,,,,,,,,,,,,,,,,13913044.0,18316993.0
DeMarre Carroll,,,,,2015,,,,,,,,,,,,,,,,,13600000.0,17904860.0
Brandon Knight,,,,,2015,,,,,,,,,,,,,,,,,13500000.0,17773206.0
Eric Bledsoe,,,,,2015,,,,,,,,,,,,,,,,,13500000.0,17773206.0
Al Jefferson,,,,,2015,,,,,,,,,,,,,,,,,13500000.0,17773206.0
Tony Parker,,,,,2015,,,,,,,,,,,,,,,,,13437500.0,17690923.0
Joakim Noah,,,,,2015,,,,,,,,,,,,,,,,,13400000.0,17641553.0
JaVale McGee,,,,,2015,,,,,,,,,,,,,,,,,13270964.0,17471672.0
Nenê,,,,,2015,,,,,,,,,,,,,,,,,13000000.0,17114939.0
Tyson Chandler,,,,,2015,,,,,,,,,,,,,,,,,13000000.0,17114939.0
Ricky Rubio,,,,,2015,,,,,,,,,,,,,,,,,12700000.0,16719979.0
Robin Lopez,,,,,2015,,,,,,,,,,,,,,,,,12650000.0,16654152.0
Ty Lawson,,,,,2015,,,,,,,,,,,,,,,,,12444552.0,16383673.0
Rudy Gay,,,,,2015,,,,,,,,,,,,,,,,,12403101.0,16329102.0
Serge Ibaka,,,,,2015,,,,,,,,,,,,,,,,,12250000.0,16127539.0
Nikola Pekovic,,,,,2015,,,,,,,,,,,,,,,,,12100000.0,15930059.0
Derrick Favors,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Kyle Lowry,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Andrew Bogut,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Kemba Walker,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Amir Johnson,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Al Horford,,,,,2015,,,,,,,,,,,,,,,,,12000000.0,15798405.0
Nicolas Batum,,,,,2015,,,,,,,,,,,,,,,,,11860750.0,15615078.0
Andre Iguodala,,,,,2015,,,,,,,,,,,,,,,,,11710456.0,15417211.0
Stephen Curry,,,,,2015,,,,,,,,,,,,,,,,,11370786.0,14970024.0
Nikola Vucevic,,,,,2015,,,,,,,,,,,,,,,,,11250000.0,14811005.0
Kenneth Faried,,,,,2015,,,,,,,,,,,,,,,,,11235955.0,14792514.0
Thaddeus Young,,,,,2015,,,,,,,,,,,,,,,,,11235955.0,14792514.0
Marcin Gortat,,,,,2015,,,,,,,,,,,,,,,,,11217391.0,14768074.0
Jrue Holiday,,,,,2015,,,,,,,,,,,,,,,,,11000000.0,14481872.0
Deron Williams,,,,,2015,,,,,,,,,,,,,,,,,10853761.0,14289343.0
Tyreke Evans,,,,,2015,,,,,,,,,,,,,,,,,10734586.0,14132445.0
Wilson Chandler,,,,,2015,,,,,,,,,,,,,,,,,10449438.0,13757038.0
Monta Ellis,,,,,2015,,,,,,,,,,,,,,,,,10300000.0,13560298.0
Anderson Varejao,,,,,2015,,,,,,,,,,,,,,,,,10158574.0,13374106.0
Luol Deng,,,,,2015,,,,,,,,,,,,,,,,,10151612.0,13364940.0
Gerald Wallace,,,,,2015,,,,,,,,,,,,,,,,,10105855.0,13304699.0
Danny Green,,,,,2015,,,,,,,,,,,,,,,,,10000000.0,13165338.0
Zach Randolph,,,,,2015,,,,,,,,,,,,,,,,,10000000.0,13165338.0
Mike Conley,,,,,2015,,,,,,,,,,,,,,,,,9680000.0,12744047.0
DeMar DeRozan,,,,,2015,,,,,,,,,,,,,,,,,9500000.0,12507071.0
Rajon Rondo,,,,,2015,,,,,,,,,,,,,,,,,9500000.0,12507071.0
Alec Burks,,,,,2015,,,,,,,,,,,,,,,,,9213484.0,12129863.0
Omer Asik,,,,,2015,,,,,,,,,,,,,,,,,9213483.0,12129862.0
Jeff Green,,,,,2015,,,,,,,,,,,,,,,,,9200000.0,12112111.0
Lance Stephenson,,,,,2015,,,,,,,,,,,,,,,,,9000000.0,11848804.0
Iman Shumpert,,,,,2015,,,,,,,,,,,,,,,,,8988765.0,11834013.0
Ryan Anderson,,,,,2015,,,,,,,,,,,,,,,,,8500000.0,11190537.0
Kevin Garnett,,,,,2015,,,,,,,,,,,,,,,,,8500000.0,11190537.0
Taj Gibson,,,,,2015,,,,,,,,,,,,,,,,,8500000.0,11190537.0
Tiago Splitter,,,,,2015,,,,,,,,,,,,,,,,,8500000.0,11190537.0
Brandon Jennings,,,,,2015,,,,,,,,,,,,,,,,,8344497.0,10985812.0
Dirk Nowitzki,,,,,2015,,,,,,,,,,,,,,,,,8333333.0,10971114.0
Corey Brewer,,,,,2015,,,,,,,,,,,,,,,,,8229375.0,10834250.0
Trevor Ariza,,,,,2015,,,,,,,,,,,,,,,,,8200000.0,10795577.0
Channing Frye,,,,,2015,,,,,,,,,,,,,,,,,8193029.0,10786399.0
Al-Farouq Aminu,,,,,2015,,,,,,,,,,,,,,,,,8042895.0,10588743.0
Markieff Morris,,,,,2015,,,,,,,,,,,,,,,,,8000000.0,10532270.0
Arron Afflalo,,,,,2015,,,,,,,,,,,,,,,,,8000000.0,10532270.0
OJ Mayo,,,,,2015,,,,,,,,,,,,,,,,,8000000.0,10532270.0
George Hill,,,,,2015,,,,,,,,,,,,,,,,,8000000.0,10532270.0
Jeff Teague,,,,,2015,,,,,,,,,,,,,,,,,8000000.0,10532270.0
Ersan Ilyasova,,,,,2015,,,,,,,,,,,,,,,,,7900000.0,10400617.0
Avery Bradley,,,,,2015,,,,,,,,,,,,,,,,,7730337.0,10177250.0
Kosta Koufos,,,,,2015,,,,,,,,,,,,,,,,,7700000.0,10137310.0
Boris Diaw,,,,,2015,,,,,,,,,,,,,,,,,7500000.0,9874003.0
Pau Gasol,,,,,2015,,,,,,,,,,,,,,,,,7448760.0,9806544.0
Jose Calderon,,,,,2015,,,,,,,,,,,,,,,,,7402812.0,9746052.0
Kevin Martin,,,,,2015,,,,,,,,,,,,,,,,,7402474.0,9745607.0
JJ Redick,,,,,2015,,,,,,,,,,,,,,,,,7085000.0,9327642.0
Anthony Davis,,,,,2015,,,,,,,,,,,,,,,,,7070730.0,9308855.0
Cory Joseph,,,,,2015,,,,,,,,,,,,,,,,,7000000.0,9215736.0
Louis Williams,,,,,2015,,,,,,,,,,,,,,,,,7000000.0,9215736.0
Rodney Stuckey,,,,,2015,,,,,,,,,,,,,,,,,7000000.0,9215736.0
