,Team,2024/25,2025/26,2026/27,2027/28
1,Phoenix,220708856,210624320,149317650,95122335
2,Minnesota,204780898,187794930,124209625,118840116
3,Boston,195610488,223928825,199299290,213553149
4,New York,193588886,194354847,164494803,146981267
5,LA Lakers,192057940,189239092,81878414,13285714
6,Milwaukee,185971982,172713760,147503536,66821676
7,Denver,185864258,203509384,193740462,163334957
8,Dallas,178812859,193550487,115598237,87619026
9,Golden State,178316619,164744105,169257038,23523485
10,Miami,176102077,176542132,124763448,56090089
11,New Orleans,175581168,171194031,122162368,105217102
12,LA Clippers,174124752,174103546,85001485,20998320
13,Philadelphia,174059777,170735334,156732189,164471089
14,Washington,173873325,158276280,57687586,13050000
15,Toronto,173621417,178613358,165666978,119252334
16,Sacramento,172815356,160966092,151669415,71490451
17,Cleveland,172471107,210534208,218422872,176568206
18,Charlotte,171952448,152501780,95622287,43582280
19,Brooklyn,171804859,53193234,45647727,20943184
20,Atlanta,170056977,143094769,113255324,62880000
21,Houston,170038023,140533038,94096391,73339450
22,Indiana,169846170,165638703,156695679,153420792
23,Portland,169031747,167024619,47599930,48556822
24,Chicago,168147899,134846334,27428571,18000000
25,Oklahoma City,167471133,172595541,80511092,28988975
26,Memphis,165903638,136494593,108167327,87053440
27,San Antonio,164872330,143318427,44500000,24652174
28,Utah,156874018,153320035,55671154,52613896
29,Orlando,151728562,175846790,135986832,108497732
30,Detroit,140746162,128740963,59050907,44847572
More,,,,,
